policy,planning_mode,vehicles,completed,replanning_decisions,route_changes,average_travel_time,controlled_average_travel_time,p95_travel_time,total_travel_time,total_delay,peak_utilization,peak_severely_congested_edges,severe_edge_ticks,overload_vehicle_ticks,window_completed,window_throughput,last_arrival,objective
static,junction,150,150,120,0,53.666666666666664,60.3,105,8050,7224,35.333333333333336,2,135,7192,131,1.0916666666666666,139,8050.0
reactive,junction,150,150,39,24,14.706666666666667,15.8,25,2206,1084,6.0,3,79,997,150,1.25,55,2206.0
predictive,junction,150,150,80,54,13.546666666666667,14.825,24,2032,902,5.5,3,85,826,150,1.25,48,2032.0
anticipatory,junction,150,150,31,4,10.68,11.208333333333334,14,1602,473,4.0,2,54,395,150,1.25,42,1602.0
cooperative,junction,150,150,58,0,9.893333333333333,10.991666666666667,14,1484,298,3.3333333333333335,3,36,235,150,1.25,41,1484.0
rl_swarm,junction,150,150,26,11,10,10.983333333333333,14,1500,326,3.0,3,32,249,150,1.25,42,1500.0
